Date,Description,Category,Money In,Money Out,Fee*,Balance
1/09/2024,* Includes VAT at 15,Uncategorised,15.0,,,
1/10/2024,PowerBall Payment Betting/Lottery,Betting/Lottery,90.07,1.5,,90.07
2/10/2024,* Includes VAT at 15,Uncategorised,15.0,,,
6/10/2024,* Includes VAT at 15,Uncategorised,15.0,,,
5/11/2024,* Includes VAT at 15,Uncategorised,15.0,,,
6/11/2024,* Includes VAT at 15,Uncategorised,15.0,,,
5/12/2024,Payment Received: Lethabo Mahole Other Income,Other Income,849.78,,,849.78
3/12/2024,* Includes VAT at 15,Uncategorised,15.0,,,
0/12/2024,PowerBall Payment Betting/Lottery,Betting/Lottery,392.32,1.5,,392.32
8/12/2024,* Includes VAT at 15,Uncategorised,15.0,,,
7/01/2025,* Includes VAT at 15,Uncategorised,15.0,,,
5/01/2025,Banking App Immediate Payment: Molebatsi Digital Payments,Digital Payments,815.1,1.0,,815.1
4/01/2025,* Includes VAT at 15,Uncategorised,15.0,,,
1/01/2025,Payment Received: Operat Rtc,Other Income,241.36,,,241.36
7/02/2025,* Includes VAT at 15,Uncategorised,15.0,,,
5/02/2025,* Includes VAT at 15,Uncategorised,15.0,,,
3/02/2025,Coastal Tool Hire Hazyview,Uncategorised,434.57,390.0,,434.57
1/03/2025,SMS Notification Fee:,Fees,283.37,2.1,,283.37
0/03/2025,* Includes VAT at 15,Uncategorised,15.0,,,
8/03/2025,* Includes VAT at 15,Uncategorised,15.0,,,
5/03/2025,Banking App Prepaid Purchase: Electricity Electricity,Digital Payments,863.59,1.0,,863.59
1/03/2025,* Includes VAT at 15,Uncategorised,15.0,,,
